Nome;Link;Avaliacao;Preço Antigo;Parcelas;Preço Parcelado;Preço a Vista
"Smartphone Samsung Galaxy A15 6,5"" 128GB Verde Claro 4G 4GB RAM Câm. Tripla 50MP + Selfie 13MP 5000mAh Dual Chip";https://www.magazineluiza.com.br/smartphone-samsung-galaxy-a15-65-128gb-verde-claro-4g-4gb-ram-cam-tripla-50mp-selfie-13mp-5000mah-dual-chip/p/237216100/te/ga15/;4.8 (8938);2019,0;R$ 949,00 em 10x de R$ 94,90 sem juros;949,0;854,1
Smartphone Realme Note 50 4G 64GB / 3GB Ram (Versao Global);https://www.magazineluiza.com.br/smartphone-realme-note-50-4g-64gb-3gb-ram-versao-global/p/dbf3e60d22/te/tcsp/;4.8 (4);1200,99;R$ 799,99 em 6x de R$ 133,33 sem juros;799,99;719,99
Smartphone Motorola Moto g24 256gb 8GB Ram Boost Rosa;https://www.magazineluiza.com.br/smartphone-motorola-moto-g24-256gb-8gb-ram-boost-rosa/p/dfkc6gke5h/te/srmt/;5.0 (3);99,0;R$ 979,00 em 8x de R$ 122,38 sem juros;979,0;979,0
Smartphone Celular Para Idoso 32gb Capa Película;https://www.magazineluiza.com.br/smartphone-celular-para-idoso-32gb-capa-pelicula-multilaser-e-idoso/p/df3gc8jece/te/smul/;4.0 (44);4499,0;R$ 540,00 em 4x de R$ 135,00 sem juros;540,0;486,0
"Smartphone Xiaomi Redmi 12 256GB 8GB RAM Dual SIM Tela 6.79"" - Azul";https://www.magazineluiza.com.br/smartphone-xiaomi-redmi-12-256gb-8gb-ram-dual-sim-tela-6-79-azul/p/chg84jfg8j/te/xiao/;4.6 (7);1699,0;R$ 1.339,99 em 10x de R$ 134,00 sem juros;1339,99;1205,99
Smartphone Xiaomi Redmi Note 13 5G 256GB - 8GB Ram (Graphite Black) Preto;https://www.magazineluiza.com.br/smartphone-xiaomi-redmi-note-13-5g-256gb-8gb-ram-graphite-black-preto/p/ffg498hfaj/te/xiao/;4.9 (8);3198,0;R$ 1.979,99 em 10x de R$ 198,00 sem juros;1979,99;1781,99
Celular Xiaomi Redmi 13c 4gb 128gb Azul;https://www.magazineluiza.com.br/celular-xiaomi-redmi-13c-4gb-128gb-azul/p/ded8dfa6c6/te/xiao/;4.2 (5);1599,0;R$ 1.049,00 em 8x de R$ 131,13 sem juros;1049,0;965,08
Smartphone Realme Note 50 256GB - 4GB RAM - Preto;https://www.magazineluiza.com.br/smartphone-realme-note-50-256gb-4gb-ram-preto/p/kfk4g5355a/te/tcsp/;4.2 (5);2848,0;R$ 920,00 em 7x de R$ 131,43 sem juros;920,0;910,8
Celular Simples Lenoxx CX904_PV 2G Dual Chip 32MB Desbloqueado;https://www.magazineluiza.com.br/celular-simples-lenoxx-cx904-pv-2g-dual-chip-32mb-desbloqueado/p/238639000/te/ceba/;4.2 (13);1469,0;R$ 2.599,00 em 10x de R$ 259,90 sem juros;2599,0;88,11
Samsung Galaxy S23 FE 5G Smartphone Android 128GB Creme;https://www.magazineluiza.com.br/samsung-galaxy-s23-fe-5g-smartphone-android-128gb-creme/p/237986000/te/s23f/;4.7 (3033);1999,0;R$ 1.099,00 em 10x de R$ 109,90 sem juros;1099,0;2469,05
"Smartphone Samsung Galaxy A15 6,5"" 128GB Azul Escuro 5G 4GB RAM Câm. Tripla 50MP + Selfie 13MP 5000mAh Dual Chip";https://www.magazineluiza.com.br/smartphone-samsung-galaxy-a15-65-128gb-azul-escuro-5g-4gb-ram-cam-tripla-50mp-selfie-13mp-5000mah-dual-chip/p/237215600/te/ga15/;4.8 (3052);1799,0;R$ 1.789,00 em 10x de R$ 178,90 sem juros;1789,0;989,1
