Nome;Link;Avaliacao;Quantidade de Avaliações;Parcelas;Preço Parcelado;Preço a Vista;Site;Data da Coleta
Smartphone Motorola Moto g24 Power 128GB 8GB Ram Boost AI Camera 50MP 6000 mAh - Azul  ;https://www.amazon.com.br/Smartphone-Motorola-Power-128GB-Camera/dp/B0DJFYQ63B/ref=sr_1_11?dib=eyJ2IjoiMSJ9.sr_Ma6vakUaO2nWx5dw64vzuNHt5f-UpWLKjUiFa-DW58fjeHo60Clcbm8sFch0EPJjiDA5t-VBSpcS-_R6F3c0m43KiXnN5DqSjfyvX8dtkPdl3FEED8WLGemDPBCB4IU4TWcrlz5r14bF6BMSSu_IjpBy6pQ0_07fnIRSHADtsF912UgPlunIhwWdiIFqiEXpKlqIzuKpwFydhCwrdFLMIMvRf-69v_dV09iQe6MMcvhjJRB8JTk4kRZI28F5YEXWrfZbirdcKntocHY7bl9g2GhsiCBIZGTiPDojojXo.gYGeGXuQZ9upEKtnQlsPa4DmcbD4Xl-siFlqMx2CppU&dib_tag=se&keywords=smartphone&qid=1732314181&sr=8-11&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147;5,0;1;em até 10x de R$ 75,16 sem juros;75,16;751,06;Amazon;22/11/2024 19:23:51
Smartphone Samsung Galaxy A15 4G 128GB - Azul Escuro  ;https://www.amazon.com.br/Smartphone-Samsung-Galaxy-A15-128GB/dp/B0CRWJ887S/ref=cs_sr_dp_1?dib=eyJ2IjoiMSJ9.sr_Ma6vakUaO2nWx5dw64vzuNHt5f-UpWLKjUiFa-DW58fjeHo60Clcbm8sFch0EPJjiDA5t-VBSpcS-_R6F3c0m43KiXnN5DqSjfyvX8dtkPdl3FEED8WLGemDPBCB4IU4TWcrlz5r14bF6BMSSu_IjpBy6pQ0_07fnIRSHADtsF912UgPlunIhwWdiIFqiEXpKlqIzuKpwFydhCwrdFLMIMvRf-69v_dV09iQe6MMcvhjJRB8JTk4kRZI28F5YEXWrfZbirdcKntocHY7bl9g2GhsiCBIZGTiPDojojXo.gYGeGXuQZ9upEKtnQlsPa4DmcbD4Xl-siFlqMx2CppU&dib_tag=se&keywords=smartphone&qid=1732314181&sr=8-12&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147;4,7;1.573;em até 10x de R$ 88,80 sem juros;88,8;888,0;Amazon;22/11/2024 19:23:51
Smartphone Motorola Moto G04s - 128GB 4GB RAM + 4GB RAM Boost Camera 16MP com Moto AI sensor FPS lateral Grafite  ;https://www.amazon.com.br/Smartphone-Motorola-Moto-G04s-lateral/dp/B0D5296M56/ref=cs_sr_dp_1?dib=eyJ2IjoiMSJ9.sr_Ma6vakUaO2nWx5dw64vzuNHt5f-UpWLKjUiFa-DW58fjeHo60Clcbm8sFch0EPJjiDA5t-VBSpcS-_R6F3c0m43KiXnN5DqSjfyvX8dtkPdl3FEED8WLGemDPBCB4IU4TWcrlz5r14bF6BMSSu_IjpBy6pQ0_07fnIRSHADtsF912UgPlunIhwWdiIFqiEXpKlqIzuKpwFydhCwrdFLMIMvRf-69v_dV09iQe6MMcvhjJRB8JTk4kRZI28F5YEXWrfZbirdcKntocHY7bl9g2GhsiCBIZGTiPDojojXo.gYGeGXuQZ9upEKtnQlsPa4DmcbD4Xl-siFlqMx2CppU&dib_tag=se&keywords=smartphone&qid=1732314181&sr=8-13&ufe=app_do%3Aamzn1.fos.a492fd4a-f54d-4e8d-8c31-35e0a04ce61e;4,7;810;em até 12x de R$ 68,04 com juros;68,04;729,0;Amazon;22/11/2024 19:23:51
Smartphone Moto G54 5G 256GB 8GB RAM Verde - Vegan Leather  ;https://www.amazon.com.br/Smartphone-Moto-G54-256GB-Verde/dp/B0CGVXGT76/ref=cs_sr_dp_1?dib=eyJ2IjoiMSJ9.sr_Ma6vakUaO2nWx5dw64vzuNHt5f-UpWLKjUiFa-DW58fjeHo60Clcbm8sFch0EPJjiDA5t-VBSpcS-_R6F3c0m43KiXnN5DqSjfyvX8dtkPdl3FEED8WLGemDPBCB4IU4TWcrlz5r14bF6BMSSu_IjpBy6pQ0_07fnIRSHADtsF912UgPlunIhwWdiIFqiEXpKlqIzuKpwFydhCwrdFLMIMvRf-69v_dV09iQe6MMcvhjJRB8JTk4kRZI28F5YEXWrfZbirdcKntocHY7bl9g2GhsiCBIZGTiPDojojXo.gYGeGXuQZ9upEKtnQlsPa4DmcbD4Xl-siFlqMx2CppU&dib_tag=se&keywords=smartphone&qid=1732314181&sr=8-14&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751;4,7;3.535;em até 12x de R$ 99,99 sem juros;99,99;1079,11;Amazon;22/11/2024 19:23:51
Smartphone Moto G84 5G 16GB RAM Boost* 256GB Azul - Couro Vegano  ;https://www.amazon.com.br/Smartphone-Moto-G84-256GB-Azul/dp/B0CGVWXHXV/ref=cs_sr_dp_1?dib=eyJ2IjoiMSJ9.sr_Ma6vakUaO2nWx5dw64vzuNHt5f-UpWLKjUiFa-DW58fjeHo60Clcbm8sFch0EPJjiDA5t-VBSpcS-_R6F3c0m43KiXnN5DqSjfyvX8dtkPdl3FEED8WLGemDPBCB4IU4TWcrlz5r14bF6BMSSu_IjpBy6pQ0_07fnIRSHADtsF912UgPlunIhwWdiIFqiEXpKlqIzuKpwFydhCwrdFLMIMvRf-69v_dV09iQe6MMcvhjJRB8JTk4kRZI28F5YEXWrfZbirdcKntocHY7bl9g2GhsiCBIZGTiPDojojXo.gYGeGXuQZ9upEKtnQlsPa4DmcbD4Xl-siFlqMx2CppU&dib_tag=se&keywords=smartphone&qid=1732314181&sr=8-15&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751;4,7;3.850;em até 12x de R$ 120,19 sem juros;120,19;1289,45;Amazon;22/11/2024 19:23:51
Smartphone Motorola Moto g24 Power 128GB 8GB Ram Boost AI Camera 50MP 6000 mAh - Azul Celeste  ;https://www.amazon.com.br/Smartphone-Motorola-Power-128GB-Camera/dp/B0DJH4KQZ9/ref=sr_1_16?dib=eyJ2IjoiMSJ9.sr_Ma6vakUaO2nWx5dw64vzuNHt5f-UpWLKjUiFa-DW58fjeHo60Clcbm8sFch0EPJjiDA5t-VBSpcS-_R6F3c0m43KiXnN5DqSjfyvX8dtkPdl3FEED8WLGemDPBCB4IU4TWcrlz5r14bF6BMSSu_IjpBy6pQ0_07fnIRSHADtsF912UgPlunIhwWdiIFqiEXpKlqIzuKpwFydhCwrdFLMIMvRf-69v_dV09iQe6MMcvhjJRB8JTk4kRZI28F5YEXWrfZbirdcKntocHY7bl9g2GhsiCBIZGTiPDojojXo.gYGeGXuQZ9upEKtnQlsPa4DmcbD4Xl-siFlqMx2CppU&dib_tag=se&keywords=smartphone&qid=1732314181&sr=8-16&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147;1,0;1;em até 10x de R$ 75,16 sem juros;75,16;751,06;Amazon;22/11/2024 19:23:51
"Smartfone Xiaomi POCO C65 com 8GB de RAM, 256GB de armazenamento, processador Helio G85 Octa Core, bateria de 5000mAh e tela de 6,74"" 90Hz HD.  ";https://www.amazon.com.br/Smartfone-Xiaomi-armazenamento-processador-bateria/dp/B0CNR4XBY7/ref=sr_1_17?dib=eyJ2IjoiMSJ9.sr_Ma6vakUaO2nWx5dw64vzuNHt5f-UpWLKjUiFa-DW58fjeHo60Clcbm8sFch0EPJjiDA5t-VBSpcS-_R6F3c0m43KiXnN5DqSjfyvX8dtkPdl3FEED8WLGemDPBCB4IU4TWcrlz5r14bF6BMSSu_IjpBy6pQ0_07fnIRSHADtsF912UgPlunIhwWdiIFqiEXpKlqIzuKpwFydhCwrdFLMIMvRf-69v_dV09iQe6MMcvhjJRB8JTk4kRZI28F5YEXWrfZbirdcKntocHY7bl9g2GhsiCBIZGTiPDojojXo.gYGeGXuQZ9upEKtnQlsPa4DmcbD4Xl-siFlqMx2CppU&dib_tag=se&keywords=smartphone&qid=1732314181&sr=8-17&ufe=app_do%3Aamzn1.fos.a492fd4a-f54d-4e8d-8c31-35e0a04ce61e;4,6;627;em até 12x de R$ 84,00 com juros;84,0;900,0;Amazon;22/11/2024 19:23:51
"Smartphone Realme Note 50 RMX3834 3 GB de RAM/64 GB/Tela 6.74""/Dual Sim LTE - Preto  ";https://www.amazon.com.br/Smartphone-Realme-Note-RMX3834-Tela/dp/B0DDLK83DZ/ref=sr_1_18?dib=eyJ2IjoiMSJ9.sr_Ma6vakUaO2nWx5dw64vzuNHt5f-UpWLKjUiFa-DW58fjeHo60Clcbm8sFch0EPJjiDA5t-VBSpcS-_R6F3c0m43KiXnN5DqSjfyvX8dtkPdl3FEED8WLGemDPBCB4IU4TWcrlz5r14bF6BMSSu_IjpBy6pQ0_07fnIRSHADtsF912UgPlunIhwWdiIFqiEXpKlqIzuKpwFydhCwrdFLMIMvRf-69v_dV09iQe6MMcvhjJRB8JTk4kRZI28F5YEXWrfZbirdcKntocHY7bl9g2GhsiCBIZGTiPDojojXo.gYGeGXuQZ9upEKtnQlsPa4DmcbD4Xl-siFlqMx2CppU&dib_tag=se&keywords=smartphone&qid=1732314181&sr=8-18&ufe=app_do%3Aamzn1.fos.a492fd4a-f54d-4e8d-8c31-35e0a04ce61e;5,0;2;em até 12x de R$ 64,58 com juros;64,58;692,0;Amazon;22/11/2024 19:23:51
Smartphone Samsung Galaxy A15 5G 256GB - Azul Escuro  ;https://www.amazon.com.br/Smartphone-Samsung-Galaxy-A15-256GB/dp/B0CRWTTFS7/ref=cs_sr_dp_1?dib=eyJ2IjoiMSJ9.sr_Ma6vakUaO2nWx5dw64vzuNHt5f-UpWLKjUiFa-DW58fjeHo60Clcbm8sFch0EPJjiDA5t-VBSpcS-_R6F3c0m43KiXnN5DqSjfyvX8dtkPdl3FEED8WLGemDPBCB4IU4TWcrlz5r14bF6BMSSu_IjpBy6pQ0_07fnIRSHADtsF912UgPlunIhwWdiIFqiEXpKlqIzuKpwFydhCwrdFLMIMvRf-69v_dV09iQe6MMcvhjJRB8JTk4kRZI28F5YEXWrfZbirdcKntocHY7bl9g2GhsiCBIZGTiPDojojXo.gYGeGXuQZ9upEKtnQlsPa4DmcbD4Xl-siFlqMx2CppU&dib_tag=se&keywords=smartphone&qid=1732314181&sr=8-19&ufe=app_do%3Aamzn1.fos.a492fd4a-f54d-4e8d-8c31-35e0a04ce61e;4,7;1.212;em até 12x de R$ 102,57 com juros;102,57;1099,0;Amazon;22/11/2024 19:23:51
Smartphone Xiaomi Redmi Note 13 8+256G Powerful Snapdragon® performance 120Hz FHD+ AMOLED display 33W fast charging with 5000mAh battery (Blue)  ;https://www.amazon.com.br/Smartphone-Xiaomi-Powerful-Snapdragon%C2%AE-performance/dp/B0CT922MHL/ref=sr_1_20?dib=eyJ2IjoiMSJ9.sr_Ma6vakUaO2nWx5dw64vzuNHt5f-UpWLKjUiFa-DW58fjeHo60Clcbm8sFch0EPJjiDA5t-VBSpcS-_R6F3c0m43KiXnN5DqSjfyvX8dtkPdl3FEED8WLGemDPBCB4IU4TWcrlz5r14bF6BMSSu_IjpBy6pQ0_07fnIRSHADtsF912UgPlunIhwWdiIFqiEXpKlqIzuKpwFydhCwrdFLMIMvRf-69v_dV09iQe6MMcvhjJRB8JTk4kRZI28F5YEXWrfZbirdcKntocHY7bl9g2GhsiCBIZGTiPDojojXo.gYGeGXuQZ9upEKtnQlsPa4DmcbD4Xl-siFlqMx2CppU&dib_tag=se&keywords=smartphone&qid=1732314181&sr=8-20&ufe=app_do%3Aamzn1.fos.a492fd4a-f54d-4e8d-8c31-35e0a04ce61e;4,7;2.286;em até 12x de R$ 105,46 com juros;105,46;1130,0;Amazon;22/11/2024 19:23:51
