Nome;Link;Avaliacao;Parcelas;Preço Parcelado;Preço a Vista;Site;Data da Coleta
"Smartphone Samsung Galaxy A35 128GB Rosa 5G 6GB RAM 6,6"" Câm. Tripla + Selfie 13MP Dual Chip";https://www.magazineluiza.com.br/smartphone-samsung-galaxy-a35-128gb-rosa-5g-6gb-ram-66-cam-tripla-selfie-13mp-dual-chip/p/238156400/te/ga35/;4.8 (1103);R$ 1.622,00 em 10x de R$ 162,20 sem juros;1622,0;1459,8;Magazine Luiza;14/11/2024 20:14:36
Smartphone Motorola Moto G24 128gb 4gb 6,6'' Hd+ Verde;https://www.magazineluiza.com.br/smartphone-motorola-moto-g24-128gb-4gb-66-hd-verde/p/jk5bhf355b/te/srmt/;4.0 (4);R$ 822,35 em 6x de R$ 137,06 sem juros;822,35;699,0;Magazine Luiza;14/11/2024 20:14:36
Smartphone Motorola Moto g24 Power - 128GB 8GB Ram Boost AI Camera 50MP 6000 mAh;https://www.magazineluiza.com.br/smartphone-motorola-moto-g24-power-128gb-8gb-ram-boost-ai-camera-50mp-6000-mah/p/ah84a4262d/te/srmt/;4.8 (221);R$ 822,35 em 6x de R$ 137,06 sem juros;822,35;740,12;Magazine Luiza;14/11/2024 20:14:36
Smartphone Motorola Moto g34 5G - 256GB 16GB Ram Boost AI Camera 50MP NFC;https://www.magazineluiza.com.br/smartphone-motorola-moto-g34-5g-256gb-16gb-ram-boost-ai-camera-50mp-nfc/p/ae76c471cj/te/srmt/;4.8 (345);R$ 1.149,00 em 9x de R$ 127,67 sem juros;1149,0;1034,1;Magazine Luiza;14/11/2024 20:14:36
Smartphone Samsung Galaxy S23 256GB Preto 5G 8GB RAM 6,1” Câm Tripla + Selfie 12MP;https://www.magazineluiza.com.br/smartphone-samsung-galaxy-s23-256gb-preto-5g-8gb-ram-61-cam-tripla-selfie-12mp/p/232854100/te/gs23/;4.9 (5401);R$ 3.999,00 em 10x de R$ 399,90 sem juros;3999,0;3599,1;Magazine Luiza;14/11/2024 20:14:36
Smartphone Motorola Moto g04s - 128GB 8 GB Ram Boost AI Camera 16MP sensor FPS lateral;https://www.magazineluiza.com.br/smartphone-motorola-moto-g04s-128gb-8-gb-ram-boost-ai-camera-16mp-sensor-fps-lateral/p/ejj2k9b88g/te/srmt/;4.8 (99);R$ 749,00 em 6x de R$ 124,83 sem juros;749,0;674,1;Magazine Luiza;14/11/2024 20:14:36
"Smartphone Motorola Edge 50 Fusion 256GB Light Blue Vegan Leather 5G 16GB RAM 6,7"" Câmera Sony Dupla Selfie 32MP Dual Chip";https://www.magazineluiza.com.br/smartphone-motorola-edge-50-fusion-256gb-light-blue-vegan-leather-5g-16gb-ram-67-camera-sony-dupla-selfie-32mp-dual-chip/p/238352600/te/srmt/;4.8 (139);R$ 2.465,56 em 10x de R$ 246,56 sem juros;2465,56;2219,0;Magazine Luiza;14/11/2024 20:14:36
"Smartphone Motorola Edge 50 Fusion 256GB Blue Teal 5G 16GB RAM 6,7"" Câmera Sony Dupla Selfie 32MP Dual Chip";https://www.magazineluiza.com.br/smartphone-motorola-edge-50-fusion-256gb-blue-teal-5g-16gb-ram-67-camera-sony-dupla-selfie-32mp-dual-chip/p/238352200/te/srmt/;4.8 (139);R$ 2.465,56 em 10x de R$ 246,56 sem juros;2465,56;2219,0;Magazine Luiza;14/11/2024 20:14:36
"Smartphone Samsung Galaxy A55 128GB Azul Escuro 5G 8GB RAM 6,6"" Câm. Tripla + Selfie 32MP Dual Chip";https://www.magazineluiza.com.br/smartphone-samsung-galaxy-a55-128gb-azul-escuro-5g-8gb-ram-66-cam-tripla-selfie-32mp-dual-chip/p/238157600/te/ga55/;4.8 (2496);R$ 1.999,00 em 10x de R$ 199,90 sem juros;1999,0;1799,1;Magazine Luiza;14/11/2024 20:14:36
"Smartphone Motorola Moto G84 256GB Azul 5G Snapdragon 695 8GB RAM 6,55"" Câm. Dupla + Selfie 16MP Dual Chip";https://www.magazineluiza.com.br/smartphone-motorola-moto-g84-256gb-azul-5g-snapdragon-695-8gb-ram-655-cam-dupla-selfie-16mp-dual-chip/p/237876100/te/srmt/;4.8 (2956);R$ 1.699,00 em 10x de R$ 169,90 sem juros;1699,0;1529,1;Magazine Luiza;14/11/2024 20:14:36
Smartphone Samsung Galaxy S23 Ultra 256GB Preto 5G 12GB RAM 6,8” Câm. Quádrupla + Selfie 12MP;https://www.magazineluiza.com.br/smartphone-samsung-galaxy-s23-ultra-256gb-preto-5g-12gb-ram-68-cam-quadrupla-selfie-12mp/p/232855300/te/s23u/;4.9 (3002);R$ 6.199,00 em 10x de R$ 619,90 sem juros;6199,0;5579,1;Magazine Luiza;14/11/2024 20:14:36
Smartphone Motorola Moto g24 - 128GB 8GB Ram Boost AI Camera 50MP Night Vision;https://www.magazineluiza.com.br/smartphone-motorola-moto-g24-128gb-8gb-ram-boost-ai-camera-50mp-night-vision/p/bhc987fdhe/te/srmt/;4.8 (123);R$ 799,00 em 6x de R$ 133,17 sem juros;799,0;719,1;Magazine Luiza;14/11/2024 20:14:36
Smartphone Motorola Moto g24 - 128GB 8GB Ram Boost AI Camera 50MP Night Vision;https://www.magazineluiza.com.br/smartphone-motorola-moto-g24-128gb-8gb-ram-boost-ai-camera-50mp-night-vision/p/be29k9e433/te/srmt/;4.8 (123);R$ 799,00 em 6x de R$ 133,17 sem juros;799,0;719,1;Magazine Luiza;14/11/2024 20:14:36
Smartphone Xiaomi Redmi Note 13 8gb Ram 256gb Preto;https://www.magazineluiza.com.br/smartphone-xiaomi-redmi-note-13-8gb-ram-256gb-preto/p/fak2bhbf30/te/xiao/;5.0 (10);R$ 1.489,90 em 10x de R$ 148,99 sem juros;1489,9;1370,71;Magazine Luiza;14/11/2024 20:14:36
